PENGAHASILAN/BULAN,PENGELUARAN/BULAN,STATUS TANAH,BUKTI KEPEMILIKAN TANAH,STATUS KEPEMILIKAN RUMAH,ASET RUMAH LAIN,ASET TANAH LAIN,PONDASI BANGUNAN,KONDISI KOLOM DAN BALOK,KONDISI KONSTRUKSI ATAP,JENDELA DAN LUBANG CAHAYA,VENTILASI,KAMAR MANDI & JAMBAN,KONDISI MCK,PEMBUANGAN AIR,KONDISI PA,SUMBER AIR MINUM,SUMBER LISTRIK,LUAS RUMAH M2,JUMLAH PENGHUNI,TINGGI BANGUNAN,KAMAR TIDUR & RUANG KELUARGA,MATERIAL ATAP TERLUAS,KONDISI ATAP,MATERIAL DINDING TERLUAS,KONDISI DINDING,MATERIAL LANTAI TERLUAS,LUAS LANTAI,STATUS
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,GIRIK / LETTER C,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,"PERPIPAAN (PDAM, BPSPAM)",PLN,42,4,"<  2,4 M2",ADA,GENTENG,TIDAK BOCOR,BATA/BATAKO PLESTER,TIDAK RUSAK,KERAMIK / MARMER,"7,2 M2 < = X <  9 M2",PRIORITAS 5
"< 1,2 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,GIRIK / LETTER C,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,"PERPIPAAN (PDAM, BPSPAM)",PLN MENUMPANG,42,4,"> 2,4 M2",ADA,GENTENG,TIDAK BOCOR,BATA/BATAKO EKSPOSE,TIDAK RUSAK,KERAMIK / MARMER,"7,2 M2 < = X <  9 M2",PRIORITAS 5
"< 1,2 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,TIDAK LAYAK,TIDAK LAYAK,TIDAK ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,TIDAK ADA,TIDAK BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,50,1,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO PLESTER,RUSAK BERAT,BAMBU,< = 9 M2,PRIORITAS 3
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,GIRIK / LETTER C,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,TIDAK ADA,TIDAK BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,30,6,"<  2,4 M2",ADA,BETON,BOCOR SEDANG,BATA/BATAKO EKSPOSE,RUSAK BERAT,PLESTER,"4 M2 < = X <  7,2 M2",PRIORITAS 3
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,54,5,"> 2,4 M2",ADA,GENTENG,TIDAK BOCOR,BATA/BATAKO EKSPOSE,TIDAK RUSAK,PLESTER,"7,2 M2 < = X <  9 M2",PRIORITAS 5
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,50,2,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO EKSPOSE,RUSAK SEDANG,PLESTER,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,40,4,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO PLESTER,RUSAK SEDANG,PLESTER,"4 M2 < = X <  7,2 M2",DARURAT
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,60,2,"<  2,4 M2",ADA,GENTENG,BOCOR SEDANG,BATA/BATAKO PLESTER,RUSAK BERAT,UBIN,"4 M2 < = X <  7,2 M2",DARURAT
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",TIDAK ADA,TIDAK BERFUNGSI,ADA,TIDAK BERFUNGSI,SUMUR GALI TERLINDUNG,PLN MENUMPANG,30,4,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BILIK / BAMBU,RUSAK BERAT,PLESTER,"4 M2 < = X <  7,2 M2",DARURAT
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",TIDAK ADA,TIDAK BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,50,5,"> 2,4 M2",ADA,GENTENG,BOCOR SEDANG,BATA/BATAKO EKSPOSE,RUSAK SEDANG,TANAH,"4 M2 < = X <  7,2 M2",PRIORITAS 1
